review_id,frame_idx,timestamp_sec,timestamp,ball_visible,ball_in_play,review_image_x,review_image_y,source_image_x,source_image_y,field_x_m,field_y_m,source,status,note
ball_0045,8100,135.0,02:15,False,False,,,,,,,human,invisible,
ball_0046,8160,136.0,02:16,True,True,1301.1,236.9,2185.85,397.99,37.765,7.67,human,marked,
ball_0047,8220,137.0,02:17,False,False,,,,,,,human,invisible,
ball_0048,8280,138.0,02:18,False,False,,,,,,,human,invisible,
ball_0049,8340,139.0,02:19,True,False,1351.9,238.8,2271.19,401.18,42.027,8.182,human,marked,
ball_0050,8400,140.0,02:20,True,False,1387.1,251.3,2330.33,422.18,41.888,10.211,human,marked,
ball_0051,8460,141.0,02:21,True,True,1372.6,255.9,2305.97,429.91,39.368,10.703,human,marked,
ball_0052,8520,142.0,02:22,True,False,1368.8,199.1,2299.58,334.49,61.496,-0.828,human,marked,
ball_0053,8580,143.0,02:23,True,True,1291.8,229.3,2170.22,385.22,38.856,6.426,human,marked,
ball_0054,8640,144.0,02:24,True,True,1313.7,259.7,2207.02,436.3,33.844,10.738,human,marked,
ball_0055,8700,145.0,02:25,True,True,1352.5,265.4,2272.2,445.87,35.61,11.657,human,marked,
ball_0056,8760,146.0,02:26,True,False,1558.1,300.7,2617.61,505.18,44.088,17.168,human,marked,
ball_0057,8820,147.0,02:27,False,False,,,,,,,human,invisible,
ball_0058,9030,150.5,02:30,False,False,,,,,,,human,invisible,
ball_0059,9090,151.5,02:32,False,False,,,,,,,human,invisible,
ball_0060,9150,152.5,02:32,False,False,,,,,,,human,invisible,
ball_0061,10830,180.5,03:00,True,True,535.8,231.3,900.14,388.58,3.318,5.695,human,marked,
ball_0062,10890,181.5,03:02,True,True,542.0,229.8,910.56,386.06,3.465,5.569,human,marked,
ball_0063,10950,182.5,03:02,True,True,536.6,208.9,901.49,350.95,3.358,3.598,human,marked,
ball_0064,11010,183.5,03:04,True,True,793.4,221.3,1332.91,371.78,10.885,4.842,human,marked,
ball_0065,11070,184.5,03:04,True,True,948.3,245.2,1593.14,411.94,15.623,7.6,human,marked,
ball_0066,11790,196.5,03:16,True,False,1412.7,423.1,2373.34,710.81,21.29,20.853,human,marked,
ball_0067,11850,197.5,03:18,True,True,1031.3,284.3,1732.58,477.62,16.551,11.338,human,marked,
ball_0068,11910,198.5,03:18,True,True,1075.6,259.1,1807.01,435.29,20.115,9.402,human,marked,
ball_0069,11970,199.5,03:20,True,True,1051.5,249.0,1766.52,418.32,19.844,8.292,human,marked,
ball_0070,12030,200.5,03:20,True,True,986.6,249.0,1657.49,418.32,16.96,8.088,human,marked,
ball_0071,12090,201.5,03:22,True,True,927.4,242.2,1558.03,406.9,14.962,7.245,human,marked,
ball_0072,14460,241.0,04:01,False,False,,,,,,,human,invisible,
ball_0073,14520,242.0,04:02,False,False,,,,,,,human,invisible,
ball_0074,14580,243.0,04:03,False,False,,,,,,,human,invisible,
ball_0075,14820,247.0,04:07,False,False,,,,,,,human,invisible,
ball_0076,14880,248.0,04:08,False,False,,,,,,,human,invisible,
ball_0077,14940,249.0,04:09,True,False,1590.4,366.3,2671.87,615.38,33.795,21.078,human,marked,
ball_0078,15000,250.0,04:10,True,True,1434.2,358.6,2409.46,602.45,27.066,18.892,human,marked,
ball_0079,15150,252.5,04:12,True,False,1438.1,468.4,2416.01,786.91,19.619,22.137,human,marked,
ball_0080,15210,253.5,04:14,False,False,,,,,,,human,invisible,
ball_0081,15270,254.5,04:14,True,False,1386.0,483.9,2328.48,812.95,17.637,21.988,human,marked,
ball_0082,15840,264.0,04:24,True,True,1382.2,426.0,2322.1,715.68,20.198,20.648,human,marked,
ball_0083,15900,265.0,04:25,True,False,1386.0,429.9,2328.48,722.23,20.101,20.786,human,marked,
ball_0084,15960,266.0,04:26,True,False,1388.0,429.9,2331.84,722.23,20.16,20.804,human,marked,
ball_0085,16020,267.0,04:27,True,True,1187.5,271.8,1995.0,456.62,24.348,11.165,human,marked,
ball_0086,16110,268.5,04:28,True,True,1199.0,256.4,2014.32,430.75,26.83,9.696,human,marked,
ball_0087,16170,269.5,04:30,True,True,1177.0,229.1,1977.36,384.89,29.508,6.158,human,marked,
ball_0088,16230,270.5,04:30,True,True,1189.5,220.8,1998.36,370.94,31.975,4.867,human,marked,
ball_0089,16380,273.0,04:33,False,False,,,,,,,human,invisible,
ball_0090,16440,274.0,04:34,True,True,1258.6,218.4,2114.45,366.91,38.609,4.443,human,marked,
ball_0091,16500,275.0,04:35,True,True,1203.4,208.3,2021.71,349.94,35.987,2.538,human,marked,
ball_0092,16560,276.0,04:36,True,True,1149.4,192.4,1930.99,323.23,34.891,-0.717,human,marked,
ball_0093,16620,277.0,04:37,False,False,,,,,,,human,invisible,
ball_0094,16680,278.0,04:38,True,False,1118.2,185.0,1878.58,310.8,33.749,-2.285,human,marked,
ball_0095,16740,279.0,04:39,True,False,1132.4,189.5,1902.43,318.36,33.988,-1.285,human,marked,
ball_0096,16800,280.0,04:40,True,False,1136.2,190.8,1908.82,320.54,34.027,-0.999,human,marked,
ball_0097,16860,281.0,04:41,True,True,1147.0,195.8,1926.96,328.94,33.816,0.097,human,marked,
ball_0098,16920,282.0,04:42,True,True,1152.2,194.3,1935.7,326.42,34.677,-0.285,human,marked,
ball_0099,16980,283.0,04:43,False,False,,,,,,,human,invisible,
ball_0100,17040,284.0,04:44,True,True,1149.9,194.9,1931.83,327.43,34.308,-0.129,human,marked,
ball_0101,17100,285.0,04:45,True,True,1196.8,210.4,2010.62,353.47,34.863,2.975,human,marked,
ball_0102,17190,286.5,04:46,True,True,1301.0,262.9,2185.68,441.67,32.356,11.007,human,marked,
ball_0103,17250,287.5,04:48,True,True,1309.1,274.2,2199.29,460.66,31.014,12.215,human,marked,
ball_0104,17310,288.5,04:48,True,True,1335.0,271.3,2242.8,455.78,33.222,12.134,human,marked,
ball_0105,17400,290.0,04:50,True,True,1353.2,261.7,2273.38,439.66,36.434,11.25,human,marked,
ball_0106,17460,291.0,04:51,True,True,1307.0,239.4,2195.76,402.19,37.675,8.069,human,marked,
ball_0107,17520,292.0,04:52,True,True,1283.0,225.7,2155.44,379.18,38.983,5.791,human,marked,
ball_0108,17580,293.0,04:53,False,False,,,,,,,human,invisible,
ball_0109,17640,294.0,04:54,True,False,1290.6,221.8,2168.21,372.62,40.838,5.091,human,marked,
ball_0110,17700,295.0,04:55,False,False,,,,,,,human,invisible,
ball_0111,17760,296.0,04:56,False,False,,,,,,,human,invisible,
ball_0112,17820,297.0,04:57,False,False,,,,,,,human,invisible,
ball_0113,17880,298.0,04:58,False,False,,,,,,,human,invisible,
ball_0114,17970,299.5,05:00,False,False,,,,,,,human,invisible,
ball_0115,18030,300.5,05:00,False,False,,,,,,,human,invisible,
ball_0116,18090,301.5,05:02,False,False,,,,,,,human,invisible,
ball_0117,18150,302.5,05:02,True,False,1296.6,221.9,2178.29,372.79,41.427,5.114,human,marked,
ball_0118,18210,303.5,05:04,True,True,1297.4,224.9,2179.63,377.83,40.62,5.67,human,marked,
ball_0119,18270,304.5,05:04,True,True,1298.9,225.3,2182.15,378.5,40.655,5.744,human,marked,
ball_0120,18330,305.5,05:06,False,False,,,,,,,human,invisible,
